Título,Revisiones,Año Publicación,Idioma,Rating,ISBN
A Matter of Honor,4,1993,2,3.93,0061007137
La ciudad de los ángeles caídos,1,2006,2,3.54,0307376605
Rebuilding Central Park: A Management and Restoration Plan,0,2005,2,4.67,0262181274
Jeffrey Archer: The Selected Short Stories,2,1999,2,4.14,0001056298
The Godfather Returns,164,2005,1,3.46,0345478983
The Godfather - Prima Official Game Guide,0,2006,1,3.89,0761553681
The Last Godfather: The Rise and Fall of Joey Massino,13,2006,2,3.71,0425209393
Godfather of the Kremlin: The Decline of Russia in the Age of Gangster Capitalism,9,2001,2,4.12,0156013304
The Godfather of Soul: An Autobiography,11,2003,2,3.7800000000000002,1560253886
The Last Godfather,0,2006,1,3.77,0806527358
The Godfather Legacy: The Untold Story of the Making of the Classic Godfather Trilogy Featuring Never-Before-Published Production Stills,10,2005,2,4.3,0743287770
The Godfather,13,2004,2,4.37,1596002433
The Remains Of The Day De Kazuo Ishiguro,6,1999,3,4.12,2842740750
Duck On A Bike,18,2009,1,4.08,0439622778
Pálida luz en las colinas,30,2006,2,3.75,8433966030
Les Vestiges du jour,2,2002,3,4.12,2264035854
Quand nous étions orphelins,3,2001,3,3.49,2702132162
Un artiste du monde flottant,1,2002,3,3.76,2264034971
Lumière pâle sur les collines,2,2002,3,3.75,2264034963
The Remains of the Day,26,2005,1,4.12,0582424623
Os resíduos do dia,0,2003,11,4.12,8535904182
The Politics of Sentiment: Imagining and Remembering Guayaquil,0,2006,2,3.5,0292713363
Lonely Planet Travel Survival Kit - Ecuador and the Galapagos Islands,2,1997,1,3.75,0864423489
Lonely Planet: Ecuador e Galapagos (Italian Edition),0,2002,12,4.0,8870635023
Monster Manual III (Dungeons & Dragons Supplement),4,2003,1,3.67,0786934301
Another Monster at the End of This Book (Sesame Street),19,1999,1,4.2,0307987698
Birthday Monsters!,70,1993,2,4.1,1563054434
Monster Trucks,0,2003,2,4.0,082250605X
There Are Monsters Everywhere,47,2005,2,3.96,0803706219
My Monster Mama Loves Me So,99,2002,1,4.2,0060088605
Here Be Monsters!,157,2006,1,3.84,0689870477
Party Monster: A Fabulous But True Tale of Murder in Clubland,344,2003,2,4.09,0743259823
The Legend of Quito Road,5,2006,2,3.55,1583147063
The Kingdom of Quito 1690-1830,0,2002,1,3.0,0521894484
Farm and Factory: The Jesuits and the Development of Agrarian Capitalism in Colonial Quito,0,1983,2,0.0,0873955706
A Drinking Life,267,1995,1,3.91,0316341029
Snow in August,596,1999,1,3.92,0446675253
Flesh and Blood,8,1986,1,3.7800000000000002,0553118978
Loving Women,21,2003,1,3.77,0786016388
The Epigrams of Oscar Wilde,1,1996,2,4.26,1859585167
The Complete Oscar Wilde,1,1995,2,4.48,0517120739
The House Beautiful: Oscar Wilde and the Aesthetic Interior,2,2000,2,4.11,0853318182
An Ideal Husband,1,2002,2,4.04,1591090997
The Happy Prince,574,1995,1,4.23,0525453679
Fairy Tales of Oscar Wilde: The Devoted Friend/The Nightingale and the Rose,19,2004,1,4.05,1561633917
The Complete Letters of Oscar Wilde,10,2000,1,4.3,0805059156
Oscar Wilde: A Long and Lovely Suicide,4,1996,2,3.06,0300068735
Stories for Children,7,2007,2,4.21,0340894369
Oscar Wilde,2,2002,2,3.71,0094726205
Adverbs,528,2006,2,3.39,0060724412
The Handbook of Japanese Adjectives and Adverbs,1,2002,2,4.4,4770028792
If You Were an Adverb,7,2006,2,4.18,1404813578
Adjectives  Adverbs,0,1990,2,3.0,0931993350
Adjectives and Adverbs,0,1999,2,0.0,1580860621
Table Talk Oscar Wilde,10,2001,2,3.73,0304355941
Oscar Wilde: A Life in Quotes,1,2001,2,4.53,1842410032
Black Maria: Poems Produced and Directed by,15,2005,2,3.87,1400042097
Black Maria,1,2007,2,3.87,0375710507
The Journeyer,171,2006,1,4.32,0765349647
The Journeyers,0,2006,2,4.0,0977820548
The Aztecs,6,2003,2,3.8200000000000003,0631230157
The Aztecs: Rise and Fall of an Empire,4,1992,1,3.44,0810928213
The Broken Spears: The Aztec Account of the Conquest of Mexico,18,2006,2,3.99,080705500X
Williamsburg (Images of America: Virginia),0,2001,1,3.67,0738513792
Williamsburg (Images of America: New York),0,2005,1,4.38,0738537926
The Bridges of New York,1,2000,2,4.2,048641230X
Aztecs: An Interpretation,14,1995,2,4.11,0521485851
Aztec Thought and Culture: A Study of the Ancient Nahuatl Mind,15,1990,2,4.04,0806122951
Aztec Art,1,1998,2,3.9,0806125365
Portraits of America: Bridges of New York City: The Museum of the City of New York,0,2003,2,3.67,0760738858
Aztecs and Conquistadores: The Spanish Invasion and the Collapse of the Aztec Empire,0,2005,2,3.61,1841769347
Stone and Steel: Paintings & Writings Celebrating the Bridges of New York City,1,1998,2,4.67,1567920810
Aztec Designs,0,2005,2,3.88,0486443388
The Aztec Book of Destiny,1,2005,2,4.33,1419611631
An Aztec Herbal: The Classic Codex of 1552,5,2000,1,4.21,0486411303
Covered Bridges of New York State,0,2003,2,0.0,0815607482
Monster Mama,60,1997,2,4.21,0698114299
Waylon: An Autobiography,50,1996,1,4.18,0446518654
Business Ethics: Case Studies and Selected Readings,0,2005,2,3.68,0324204892
A Godly Hero: The Life of William Jennings Bryan,33,2007,2,3.7199999999999998,0385720564
Spangle,39,1987,2,4.14,068911723X
Sangre Azteca/ Aztec Blood,0,2006,2,3.79,840805127X
Otoño Azteca,0,2002,2,3.7800000000000002,8408044001
The Treasure of the Superstition Mountains,0,1973,2,3.5,039308678X
The Terrible Teague Bunch,3,1982,2,3.96,0380579278
Sow the Seeds of Hemp,0,1976,2,4.32,0393087336
Fort Miles (Images of America: Delaware),0,2006,1,4.0,0738541958
LabVIEW Graphical Programming,0,2006,2,3.43,0071451463
What Style Is It?: A Guide to American Architecture,7,2003,2,3.48,0471250368
New Essays on Moby-Dick,2,1987,2,3.83,0521317886
Moby Dick,2,2004,2,3.5,0809567288
A History of American Architecture: Buildings in Their Cultural and Technological Context,3,2001,2,3.87,1584651369
A Concise History Of American Architecture,2,1980,2,3.67,0064300862
American Architecture: A History,2,2003,2,3.67,0813336627
North American Indian Art,4,2004,2,4.0,0500203776
Art Worlds,12,1984,2,3.91,0520052188
Internet Art,2,2004,2,3.56,0500203768
Caribbean Art,1,1998,2,4.1,0500203067
Aboriginal Art,3,2003,2,3.93,0500203660
Art in the World,0,1993,2,4.6,0030765439
Gerhard Richter: Forty Years of Painting,11,2002,1,4.38,189102437X
Gerhard Richter: Atlas,9,2011,2,4.5600000000000005,1933045477
The Fields,96,1991,1,4.23,0821409794
The Daily Practice of Painting: Writings 1960-1993,12,1995,2,4.35,026268084X
Reliability Engineering and Risk Analysis: A Practical Guide,0,1999,2,3.15,0824720008
What Every Engineer Should Know about Reliability and Risk Analysis,0,1992,2,3.5,082478958X
City and Environment,1,2006,2,3.86,1592132847
Listening in: Radio and the American Imagination,10,2004,1,3.77,0816644233
Where the Girls Are: Growing Up Female with the Mass Media,143,1995,1,3.92,0812925300
Intimate Revolt (European Perspectives: A Series in Social Thought & Cultural Criticism),1,2003,2,3.92,023111415X
Aztec,17,2007,1,4.22,0812521463
The Beloved Scoundrel,53,2012,2,3.8200000000000003,0553590383
Tai Chi Chuan: 24 & 48 Postures with Martial Applications,2,1996,2,4.2,1886969337
The Complete Book of Tai Chi Chuan: A Comprehensive Guide to the Principles and Practice,9,2002,2,3.92,0804834407
Tai Chi: The Supreme Ultimate,4,1983,2,3.88,0877284970
Classical Northern Wu Style Tai Ji Quan: The Fighting Art of the Manchurian Palace Guard,1,2006,2,3.64,1583941541
The Inner Structure of Tai Chi: Mastering the Classic Forms of Tai Chi Chi Kung,3,2005,2,3.85,1594770581
Tai Chi Chuan Martial Applications: Advanced Yang Style Tai Chi Chaun,0,1996,2,4.21,1886969442
Song: A Guide to Art Song Style and Literature,4,2006,2,4.53,142341280X
Tai Pan,12,1999,1,4.28,0340750693
Impressionist Palette,0,2010,2,3.84,1571200304
Color from the Heart: Seven Great Ways to Make Quilts with Colors You Love,2,2010,2,4.07,1571200711
Islam and the Destiny of Man,28,1985,2,4.41,088706163X
Maigret at the Gai-Moulin,19,2003,1,3.7199999999999998,015602845X
Impressionist Quilts,0,2010,1,4.06,1571200037
The Courage of Sarah Noble,296,1991,2,3.87,0689715404
Noble Purpose: Igniting Extraordinary Passion for Life and Wnoble Purpose: Igniting Extraordinary Passion for Life and Work Ork,0,2005,2,2.75,1932191046
Noble Rot: A Bordeaux Wine Revolution,7,2006,2,3.59,0393326942
The Four Noble Truths,27,1998,2,4.22,0722535503
Outlaw,4,2007,2,4.51,1893196763
Indian Art,6,1997,2,3.76,0500203024
The System ( Unillustrated Version),1,2004,2,3.0,0972918728
The Roy Stuart Collection,0,2010,2,4.5,3822839345
The Four Pillars of Investing,156,2002,2,4.2,0071385290
Six Pillars of Self-Esteem,378,1995,1,4.17,0553374397
The Three Pillars of Zen,1,1993,2,4.12,0807059757
Pillar of Fire: America in the King Years 1963-65,125,1999,1,4.34,0684848090
Bear Cave Hill: (A Memoir),0,2006,2,0.0,0595379397
Ice Age Cave Bear: The Giant Beast That Terrified Ancient Humans,1,2002,2,4.2,0375813292
Understanding the Bird of Prey,2,2017,2,4.52,0888393172
Infectious AIDS: Stretching the Germ Theory Beyond Its Limits,0,1995,2,0.0,1556432046
Inventing the AIDS Virus,11,1998,2,3.8,0895263998
The Schultz Site at Green Point: A Stratified Occupation Area in the Saginaw Valley of Michigan,0,1972,2,0.0,0932206662
The Vanishing Point,169,2006,1,3.67,0618462333
Home Buying for Dummies,67,2006,1,3.6,0471768472
Better Homes and Gardens New Cook Book,3,2006,1,4.15,0696225654
Home Ground: Language for an American Landscape,42,2006,2,4.4,1595340246
Sidetracked Home Executives: From Pigpen to Paradise,121,2001,1,3.95,0446677671
Manual of Environmental Microbiology,0,2007,2,0.0,1555813798
Modeling the Metabolic and Physiologic Activities of Microorganisms,0,1992,2,0.0,0471542717
The Most Beautiful House in the World,36,1990,2,3.8200000000000003,0140105662
Wars of Independence in Spanish America,0,2000,2,4.0,0842024697
Modeling Disease Transmission and Its Prevention by Disinfection,0,1996,2,0.0,0521481317
World History of Warfare,5,2002,2,3.83,0803244231
Looking Around: A Journey Through Architecture,17,1993,1,3.87,0140168893
Taming the Tiger: The Struggle to Control Technology,2,1985,2,3.64,014007564X
My Family and Other Animals,2,2003,2,4.25,0755111974
The Measure of a Man: A Spiritual Autobiography,6,2007,1,3.7199999999999998,006135791X
The Heavenly Man: The Remarkable True Story of Chinese Christian Brother Yun,662,2002,1,4.35,082546207X
As a Man Thinketh,12,2005,2,4.29,1557423601
The Stinky Cheese Man 10th Anniversary,15,2002,2,4.2,0670035696
The Abolition of Man,1077,2015,1,4.09,0060652942
Sufism and Wisdom,1,1999,2,4.04,0910735956
The Fragrance of Sufism,1,1995,2,4.53,0819197947
Sufism,0,1997,2,4.55,0910735743
Ghazaliat: Shahmaghsoudi (Angha) Heritage Series on Sufism,0,1996,2,4.41,0761802819
Peace,0,1987,2,5.0,0910735123
Al Rasael,0,1986,2,5.0,081915332X
Approaching Promise,0,1989,2,4.8,0819174033
Tales of Woodsman Pete,60,2006,2,3.76,1891830848
Learn to Play Electric Guitar,0,1997,1,2.67,0746024142
The Guitar Handbook,29,1992,2,4.31,0679742751
Learn to Play Guitar,1,1988,2,3.0,0746001932
The Guitar Amp Handbook: Understanding Tube Amplifiers and Getting Great Sounds,7,2005,2,4.12,087930863X
The Billboard Illustrated Complete Guitar Handbook,1,2005,2,4.33,0823082636
Through a Glass Darkly: Reflections on Personal Identity in Early America,1,1997,2,4.0,0807846449
Now through a Glass Darkly: Specular Images of Being and Knowing from Virgil to Chaucer,0,1991,2,4.0,0472101706
Through a Glass Darkly: A Spiritual Psychology of Faith,0,1995,2,3.0,0824515102
Bouchon,48,2004,2,4.22,1579652395
The Complete Keller: The French Laundry Cookbook  Bouchon,5,2006,2,4.55,157965293X
Le bouchon de cristal,3,2010,3,3.9699999999999998,2253003875
Intelligent Systems for Information Processing: From Representation to Applications,0,2003,2,0.0,0444513795
The Eck-Vidya: Ancient Science of Prophecy,2,1997,2,4.24,1570430306
Herbs: The Magic Healers,5,2006,2,3.9699999999999998,1570432260
The LeRoi Jones/Amiri Baraka Reader,10,1999,2,4.26,1560252383
Tales of the Out and the Gone,20,2009,2,3.52,1933354127
The Fiction of Leroi Jones/Amiri Baraka,1,2000,2,4.43,155652353X
The Poetry and Poetics of Amiri Baraka: The Jazz Aesthetic,0,1985,2,4.0,082620483X
Amiri Baraka: The Politics and Art of a Black Intellectual,0,2001,2,3.38,0814793738
Dutchman & The Slave,99,1971,2,3.7800000000000002,0688210848
A Nation within a Nation: Amiri Baraka (LeRoi Jones) and Black Power Politics,1,1999,2,3.59,0807847615
The Rough Guide to Reggae (Rough Guide Music Guides),8,2004,1,4.31,1843533294
Reggae: 100 Essential CDs (The Rough Guide),0,1999,1,4.07,1858285674
White Flower Day,10,2003,2,3.15,1560975148
The Kid Firechief,3,2004,2,3.73,1560975962
Champs,1,1999,2,3.93,1560973722
Who Will Comfort Toffle?,4,2003,1,4.43,0953522792
The Summer Book,1375,2003,1,4.08,0954221710
Bricks and Brownstone: The New York Row House 1783-1929,3,2003,1,4.18,0847825221
The Boys in the Brownstone,3,2005,2,3.2800000000000002,1560232951
The Sources of Modern Architecture and Design,4,1985,1,3.77,0500200726
Modern Architecture and Design: An Alternative History,0,1985,2,4.0,0262680467
The Oral History of Modern Architecture: Interviews with the Greatest Architects of the Twentieth Century,0,1994,2,4.0,0810936690
Unix Systems for Modern Architectures: Symmetric Multiprocessing and Caching for Kernel Programmers,3,1994,2,4.5,0201633388
Pueblo Architecture and Modern Adobes:  The Residential Designs of William Lumpkins: The Residential Designs of William Lumpkins,0,1998,2,2.67,0890133670
The Evolution of 20th Century Architecture: A Synoptic Account,1,2007,2,4.14,3211311955
Le Corbusier,1,2016,2,3.88,0500203415
Studies in Tectonic Culture: The Poetics of Construction in Nineteenth and Twentieth Century Architecture,0,2001,2,4.21,0262561492
Modern Architecture: A Critical History,1,1988,2,4.03,050020201X
Modern Architecture 1851-1945,0,1983,2,4.0,0847805069
Hariri & Hariri: Work in Progress,0,2000,2,0.0,158093062X
Did I Ever Tell You How Lucky You Are?,274,1973,1,4.15,0394827198
The Best Life Diet Daily Journal,0,2006,2,3.51,1416543147
Greene & Greene: Design Elements for the Workshop,2,2006,2,4.2,0941936961
Greene and Greene: Masterworks,4,1998,2,4.32,0811818780
The Get with the Program! Guide to Good Eating: Great Food for Good Health,7,2003,2,3.03,0743243102
The Call of the Wild,25,2006,1,3.58,014240571X
Run-DMC,0,2007,2,4.5,0791094995
The Mammoth Book of Unsolved Crime: The Biggest and Best Collection of Unsolved Murder and Mystery Cases,6,2005,2,3.55,0786716053
The Encyclopedia of Unsolved Crimes,6,2004,2,3.81,0816049815
Unsolved Crimes: The Top Ten Unsolved Murders of the 20th Century,2,2002,2,3.21,0786710225
Unsolved Crimes (True Crime Series),2,1993,2,3.38,0783500130
Final Confession: The Unsolved Crimes of Phil Cresta,2,2000,2,3.79,155553449X
Gogol,1,1989,2,4.0,0822309076
Plays and Petersburg Tales,10,1999,1,4.29,0192835521
Greek Myths For Young Children (Usborne Gift Book),28,1999,1,4.17,0746037252
Favorite Greek Myths,60,1989,1,4.02,0590413384
Greek Myths,32,2001,2,3.74,0618154256
Johann Sebastian Bach: The Learned Musician,51,2001,1,4.25,0393322564
The Seagull Reader: Literature,1,2004,2,3.69,039392677X
The Seagull Reader: Essays,1,2005,2,3.76,0393976327
The Seagull,425,2002,1,3.92,0413771008
Wrestlers Are Like Seagulls: From McMahon to McMahon,5,2005,2,4.09,0974554529
Tristram Shandy; and A Sentimental Journey,25,1995,2,3.66,0679600914
Chrysalis: Maria Sibylla Merian and the Secrets of Metamorphosis,66,2007,2,3.85,0151011087
Justin Morgan Had a Horse,170,2002,1,4.04,0689852797
The Rector of Justin,78,2002,1,3.87,0618224890
The Justin Wilson Cookbook,1,1975,2,4.38,0882890190
Bush on the Couch: Inside the Mind of the President,28,2005,2,3.63,0060736712
The Summer Guest,604,2005,1,3.9699999999999998,0385335822
The Jolly Christmas Postman,15,2001,2,4.48,0316127159
Technopoly: The Surrender of Culture to Technology,274,1993,1,3.9,0679745408
The Disappearance of Childhood,131,1994,1,3.9699999999999998,0679751661
Building a Bridge to the 18th Century: How the Past Can Improve Our Future,48,2000,1,3.86,0375701273
Teaching as a Subversive Activity,74,1971,1,4.22,0385290098
The Jolly Pocket Postman,0,1999,1,4.55,0670886262
Transforming Your Temperament,2,2005,2,3.89,088486040X
Charting the End Times: A Visual Guide to Understanding Bible Prophecy,10,2001,2,3.96,0736901388
Revelation Unveiled,30,1999,1,3.96,0310230055
Jesus and the Hope of His Coming,0,2004,2,3.86,0736912444
Why You Act the Way You Do,47,1988,1,4.01,0842382127
Understand Your Man: Secrets of the Male Temperament,2,2006,1,3.66,080078748X
Soul Harvest: The World Takes Sides,0,1999,2,3.9699999999999998,0613234898
El Surgimiento / The Rising: Nace El Anticristo / Antichrist is Born (Cuenta Regresiva Del Rapto / Left Behind - Related Products),0,2005,2,4.2,1414308965
The Truth Behind Left Behind: A Biblical View of the End Times,1,2004,1,3.63,1590523660
The Power of the Cross,1,1998,2,3.81,1576732126
How to Study the Bible for Yourself,16,2006,2,4.11,0736916962
Brown Face Big Master,6,2004,2,3.74,0333974301
Rapture Under Attack: Will Christians Escape the Tribulation?,1,1998,2,3.47,1576733912
The Mark: The Beast Rules the World,8,2001,2,4.03,0786232234
Seduction of the Heart,2,2002,2,3.94,0849917263
The Popular Bible Prophecy Commentary: Understanding the Meaning of Every Prophetic Passage,0,2007,2,4.0,0736916903
El Varon y Su Temperamento,0,1992,2,3.66,088113340X
Why Believe in Jesus?,1,2004,2,3.6,0736913645
Where the Truth Lies,36,2004,2,3.63,0812972236
Where Truth Lies,25,2006,1,3.5300000000000002,0778323374
Reza De Wet: Plays One,3,2000,2,3.67,1840021454
The Brothers,0,2007,2,4.0,1840022353
Iranian Cinema: A Political History,2,2006,2,3.23,184511146X
A Thousand Years of Persian Rubaiyat: An Anthology of Quatrains from the Tenth to the Twentieth Century Along with the Original Persian,0,2000,2,4.83,1588140024
Iran and the Rise of the Reza Shah: From Qajar Collapse to Pahlavi Power,4,2001,2,4.03,1860646298
Handbook of Perioperative Care in General Thoracic Surgery,0,2005,2,0.0,0323018890
The Composition,58,2003,2,4.03,0888995504
The Invisible Detective: Ghost Soldiers,2,2006,2,3.67,0399245006
Te di la vida entera,3,2004,2,3.4,8408056549
Yocandra in the Paradise of NADA,10,1999,2,3.4,1559704764
La eternidad del instante,2,2005,2,3.32,030724301X
Pattern Languages of Program Design,2,1995,2,3.41,0201607344
Pattern Languages of Program Design 5 (Software Patterns Series),0,2006,2,4.0,0321321944
Language Arts: Patterns of Practice,4,2004,1,3.84,0131177354
Patterns in Language: An Introduction to Language and Literary Style,2,1998,2,3.27,0415140641
Pattern Oriented Software Architecture Volume 5: On Patterns and Pattern Languages,2,2007,1,3.85,0471486485
Pattern-Oriented Software Architecture Volume 4: A Pattern Language for Distributed Computing,3,2007,1,3.54,0470059028
Pattern Languages of Program Design 3,3,1997,2,3.5,0201310112
Pattern Languages of Program Design 4,1,1999,2,3.45,0201433044
The Orchid Thief,32,2000,2,3.69,009928958X
Mechanics in Materials Processing and Manufacturing,0,1994,2,0.0,0791814467
Algebra,10,2005,2,3.94,038795385X
Basic Mathematics,7,1998,2,4.48,0387967877
Mastering Your Hidden Self: A Guide to the Huna Way,20,1985,1,3.91,0835605914
The Mestizo Mind: The Intellectual Dynamics of Colonization and Globalization,0,2002,2,3.36,0415928796
Problems and Solutions for Undergraduate Analysis,0,1997,2,3.4,0387982353
The Case of Comrade Tulayev,101,2004,1,4.09,1590170644
Magical Thinking: True Stories,1546,2005,1,3.98,0312315953
For These Tough Times: Reaching Toward Heaven for Hope and Healing,10,2006,2,4.33,0849901707
Finding George Orwell in Burma,338,2006,2,3.94,0143037110
Will You Still Love Me If I Wet the Bed?,167,2005,1,3.95,1891830724
Rubens and the Judgement of Paris: A Question of Choice,0,1997,2,0.0,2503504434
Adventures of a Bystander,20,1998,2,4.36,0471247391
The Making of Economic Society,1,2006,1,3.8200000000000003,0131704257
Social Sciences for Knowledge and Decision Making,0,2001,2,0.0,9264185968
Learner-Centered Teaching,22,2002,1,4.08,0787956465
Teaching in the Sciences: Learner-Centered Approaches,0,2005,2,0.0,1560222638
Learner-Centered Astronomy Teaching: Strategies for Astro 101,0,2002,2,3.5,0130466301
Learner-Centered Principles: A Framework for Teaching: A Special Issue of Theory Into Practice,0,2005,2,0.0,0805894640
The American Paradox: A History of the United States Since 1945,1,2006,2,3.59,0618660860
A History of Women in the West. Vol 3. Renaissance and the Enlightenment Paradoxes,2,1995,1,4.33,0674403673
The American Paradox: A History of the United States Since 1960,0,2003,2,3.0,061815017X
The Night Gardener: A Search for Home,2,1999,2,4.1,1558219315
Decision Theory,0,2000,2,4.0,0471976490
An Introduction to Bayesian Analysis: Theory and Methods,0,2006,2,4.0,0387400842
Games and Decisions: Introduction and Critical Survey,6,1989,2,3.83,0486659437
Introduction to Robust Estimation and Hypothesis Testing,0,2004,2,4.55,0127515429
Introduction to Bayesian Statistics,1,2004,2,3.6,0471270202
Lust for Life,759,1990,1,4.25,0099416425
Lust For Life: On the Writings of Kathy Acker,2,2006,1,4.0,184467066X
Unlikely,121,2003,1,3.91,1891830414
Every Girl is the End of the World for Me,55,2006,2,3.65,1891830775
Clumsy,314,2003,2,3.77,0971359768
Cat Getting Out of a Bag and Other Observations,170,2007,1,4.11,0811858227
AEIOU: Any Easy Intimacy,67,2005,2,3.86,1891830716
I am Going to Be Small,37,2006,2,3.75,1891830864
Miniature Sulk,13,2005,2,3.59,189183066X
Managing Knowledge: Building Blocks for Success,0,1999,2,4.0,0471997684
Fate Is A 4 Letter Word: Agony and Ecstasy on the Potomac,0,2000,2,0.0,0595011616
Organizational Behavior,1,2006,2,3.8,0131890956
Essentials of Organizational Behavior,1,2004,2,3.62,0131445715
The Passions of the Mind,56,1987,1,3.99,0451134567
Men to Match My Mountains: The Opening of the Far West 1840-1900,109,2009,1,4.11,0785813470
The Greek Treasure,64,1976,1,3.87,0451072111
Organizational Behavior: Managing People and Organizations,1,2006,2,3.36,0618611584
Understanding and Managing Organizational Behavior,3,2007,2,3.54,013239457X
Management of Organizational Behavior: Leading Human Resources,0,2001,2,3.8200000000000003,0130175986
Arthur Brown Jr.: Progressive Classicist,1,2005,2,5.0,0393731782
Mission Critical! Internet Security,0,2001,2,0.0,1928994202
No More Monsters In The Closet: Teaching Your Children to Overcome Everyday Fears and Phobias,0,1995,2,4.0,0517881837
Practical Guide to Abdominal and Pelvic MRI,1,2004,2,3.5,0781742951
Big Head: A Book About Your Brain and Your Head,0,1998,2,4.0,0679890181
Ched: (Child with a Big Head),0,2002,2,5.0,0759660298
Does My Head Look Big in This?,1275,2007,1,3.65,0439919479
Paul McCarthy at Tate Modern: Block Head and Daddies Big Head,0,2003,2,0.0,1854375148
From Head to Toe,463,2007,2,4.19,0061119725
My Big Fat Head,0,2000,2,4.75,059514795X
The Road from Coorain,0,1991,2,4.05,0816152047
Lincoln the Lawyer,6,2007,1,3.32,0252031814
Lawyer Lincoln,2,2001,2,3.6,0786709391
Lincoln as a Lawyer: An Annotated Bibliography,0,1991,2,4.0,0809316447
America in the Age of the Titans: From the Rise of Theodore Roosevelt to the Death of FDR,2,1988,2,3.89,0814714102
Studies in Words,32,1990,2,4.16,0521398312
Words to Live By: A Guide for the Merely Christian,19,2007,1,4.31,0061209120
Word and Story in C.S. Lewis,2,1991,2,5.0,082620760X
A Word Index to the Poetry of C.S. Lewis,0,1988,2,0.0,0933951213
In Patagonia,622,2003,1,3.71,0142437190
The Light Garden of the Angel King: Travels in Afghanistan with Bruce Chatwin,11,1999,1,3.69,1873429355
With Chatwin: Portrait of a Writer,0,1999,2,3.51,0140276459
Rasta Is Cuss: A Dictionary of Rastafarian Cursing,0,2003,2,4.0,097141274X
Almost Perfect Crimes: Mini-Mysteries for You to Solve,7,1995,2,3.81,0806938072
The Berenstain Bears and the Perfect Crime (Almost),2,1998,2,4.01,0679989439
The Nearly Perfect Crime: How the Church Almost Killed the Ministry of Healing,4,2005,2,4.3,0800793900
That They May Face The Rising Sun,108,2002,1,3.95,0571212212
The Rising Sun,9,2001,1,3.43,0802138640
Rising Sun Victorious,1,2001,1,3.5300000000000002,185367446X
Prisoner of the Rising Sun: The Lost Diary of Brig. Gen. Lewis Beebe,1,2006,2,5.0,1585444812
Warriors Of The Rising Sun: A History Of The Japanese Military,1,1999,1,3.5,0813336007
Christianity and Culture: The Idea of a Christian Society and Notes Towards the Definition of Culture,37,1960,2,3.91,0156177358
Selected Prose,8,1975,1,3.9699999999999998,0156806541
The Creative Photographer: A Complete Guide to Photography,1,2005,2,4.36,0810992418
Complete Photographer,0,2000,2,0.0,0863433073
The Complete Photographer: A Complete Practical Guide to Every Aspect of Photography,0,2001,2,3.0,086343343X
New York in the Forties,4,1978,2,4.4,0486235858
Food in History,96,1995,2,3.96,0517884046
History of Food,24,1994,1,4.01,0631194975
The Cambridge World History of Food 2 Part Boxed Set,5,2000,1,4.41,0521402166
Cuisine and Culture: A History of Food and People,4,2007,2,3.71,0471741728
Food: A Culinary History from Antiquity to the Present (European Perspectives),9,2000,2,3.96,0140296581
Food in World History,3,2005,2,3.22,0415311462
Cuisine and Culture: A History of Food & People,9,2003,2,3.71,0471202800
Culture And Cuisine: A Journey Through The History Of Food,1,1984,2,4.21,0306802228
Wonder Boys,5,2006,2,3.93,0007766556
Lewis Agonistes: How C.S. Lewis Can Train Us to Wrestle with the Modern and Postmodern World,9,2003,2,4.02,0805427783
El problema del dolor,11,2006,2,4.09,0061140031
Through the Shadowlands: The Love Story of C. S. Lewis and Joy Davidman,76,2005,2,4.14,0800730704
Football Against the Enemy,21,2003,1,3.96,0752848771
Saul and Patsy,104,2005,1,3.2800000000000002,0375709169
Hitler and the Jews: The Genesis of the Holocaust,0,1994,2,3.7199999999999998,0340593628
Monster of God: The Man-Eating Predator in the Jungles of History and the Mind,77,2005,2,3.98,1844133230
Gods and Monsters,20,2005,1,4.1,0060780878
Gods and Monsters: The Shooting Script,0,2005,2,3.9699999999999998,1557044279
Keith Richards: Before They Make Me Run,1,2004,1,3.87,0859653447
Keith Richards: The Biography,24,2003,2,3.95,0306812789
Keith Richards: In His Own Words,9,1996,2,3.75,071193634X
C. S. Lewis: A Life,5,2004,2,3.51,0786713763
Keith Richards,2,2004,2,2.8200000000000003,1860745903
Into the Region of Awe: Mysticism in C. S. Lewis,20,2005,2,3.96,083083284X
An Experiment in Criticism,200,1992,1,4.19,0521422817
Simulcast: Four Experiments in Criticism,2,2004,2,4.92,0817350284
Swinburne: An Experiment in Criticism,0,1972,2,4.0,0226558460
Performative Criticism: Experiments in Reader Response,0,2004,2,0.0,0791459446
The Treasure of Timbuktu,5,1997,2,3.9,0842357750
The Brothers Karamazov,9,2005,1,4.32,1593083521
Francis Crick: Discoverer of the Genetic Code,21,2006,2,3.91,006082333X
The Agile Gene: How Nature Turns on Nurture,40,2004,2,4.06,006000679X
Warts and All: 2the Men Who Would Be Bush,0,1990,2,3.33,0670827339
Down to Earth 2,0,1996,2,3.4,0255363834
Girl Wonder: A Baseball Story in Nine Innings,42,2006,1,3.85,1416913939
Fireworks: Nine Profane Stories,4,1981,1,3.79,0060148527
A Leg to Stand On,160,1998,1,3.79,0684853957
Despertares,3,2005,2,4.1,8433962191
Romantic Science and the Experience of Self: Transatlantic Crosscurrents from William James to Oliver Sacks,0,1999,2,0.0,1840146265
The Company She Keeps,60,2003,2,3.74,0156027860
